fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0017825311942959,0.9487858750337341
0.0,0.012477718360071301,0.9344095565460393
0.0006455777921239509,0.012477718360071301,0.9313163853381622
0.0006455777921239509,0.0196078431372549,0.9252615295384908
0.001936733376371853,0.0196078431372549,0.9210824472039721
0.001936733376371853,0.030303030303030304,0.9088025689065836
0.0025823111684958036,0.030303030303030304,0.9024796322434494
0.0025823111684958036,0.0374331550802139,0.8998600065496462
0.0032278889606197547,0.0374331550802139,0.8998281214074407
0.0032278889606197547,0.0427807486631016,0.8947171113805438
0.003873466752743706,0.0427807486631016,0.8937764842840585
0.003873466752743706,0.04634581105169341,0.8925635952412644
0.004519044544867657,0.04634581105169341,0.8907509199991936
0.004519044544867657,0.053475935828877004,0.8867839265737918
0.005810200129115558,0.053475935828877004,0.8866032367070629
0.005810200129115558,0.0659536541889483,0.8802893530421462
0.006455777921239509,0.0659536541889483,0.8781084807563002
0.006455777921239509,0.0677361853832442,0.8778977847814066
0.0071013557133634605,0.0677361853832442,0.8774541607177224
0.0071013557133634605,0.07130124777183601,0.8757234095724618
0.0071013557133634605,0.0748663101604278,0.8757174491024747
0.0071013557133634605,0.08377896613190731,0.872594422833165
0.008392511297611363,0.08377896613190731,0.8706995714162491
0.008392511297611363,0.10695187165775401,0.8629305332039217
0.009038089089735314,0.10695187165775401,0.8626837268085542
0.009038089089735314,0.11051693404634581,0.8622347562696419
0.010329244673983214,0.11051693404634581,0.8611259795183204
0.010329244673983214,0.12299465240641712,0.8556650766259897
0.011620400258231117,0.12299465240641712,0.855344795309706
0.011620400258231117,0.12834224598930483,0.8545442755497015
0.012265978050355068,0.12834224598930483,0.853877530667675
0.012265978050355068,0.14616755793226383,0.8500471962574514
0.012911555842479019,0.14616755793226383,0.8488876650644964
0.012911555842479019,0.16042780748663102,0.8456578229744629
0.01355713363460297,0.16042780748663102,0.8450902412040922
0.01355713363460297,0.16399286987522282,0.8436177523134483
0.014848289218850872,0.16399286987522282,0.8423368671758729
0.014848289218850872,0.1657754010695187,0.8416165289615483
0.015493867010974823,0.1657754010695187,0.8415554203095889
0.015493867010974823,0.1836007130124777,0.8349263777126041
0.017430600387346677,0.1836007130124777,0.8342404174183038
0.017430600387346677,0.18538324420677363,0.8341427591113157
0.01872175597159458,0.18538324420677363,0.8331920415302905
0.01872175597159458,0.18716577540106952,0.8324343784609234
0.02065848934796643,0.18716577540106952,0.830840821455456
0.02065848934796643,0.1889483065953654,0.8306630581047891
0.02130406714009038,0.1889483065953654,0.830300301139774
0.02130406714009038,0.19429590017825313,0.8275662492452404
0.023886378308586184,0.19429590017825313,0.8256444030090576
0.023886378308586184,0.19607843137254902,0.8250129684921823
0.024531956100710135,0.19607843137254902,0.8248090979787501
0.024531956100710135,0.20677361853832443,0.8229696059923055
0.025177533892834086,0.20677361853832443,0.8228708352926148
0.025177533892834086,0.2103386809269162,0.821768799988566
0.025823111684958037,0.2103386809269162,0.8216679235066996
0.025823111684958037,0.2192513368983957,0.8186964655703273
0.02646868947708199,0.2192513368983957,0.8183889645679938
0.02646868947708199,0.23172905525846701,0.8153466301805455
0.02711426726920594,0.23172905525846701,0.814556402478773
0.02711426726920594,0.23351158645276293,0.8144414095384058
0.02775984506132989,0.23351158645276293,0.8139014011202662
0.02775984506132989,0.23885918003565063,0.812024384265386
0.028405422853453842,0.23885918003565063,0.8119444820466015
0.028405422853453842,0.24242424242424243,0.811696035891752
0.029051000645577793,0.24242424242424243,0.8105670211136197
0.029051000645577793,0.2620320855614973,0.8059830304401538
0.029696578437701744,0.2620320855614973,0.8053857343461733
0.029696578437701744,0.26559714795008915,0.8041498196679158
0.030342156229825695,0.26559714795008915,0.803653177537534
0.030342156229825695,0.2709447415329768,0.8029345600850233
0.030987734021949646,0.2709447415329768,0.8025491920659099
0.030987734021949646,0.27629233511586454,0.7996430917714027
0.0316333118140736,0.27629233511586454,0.799456975168831
0.0316333118140736,0.2816399286987522,0.798043956988884
0.03227888960619755,0.2816399286987522,0.7976679459637922
0.03227888960619755,0.28520499108734404,0.7956489674060314
0.03357004519044545,0.28520499108734404,0.7946687973463266
0.03357004519044545,0.2994652406417112,0.7892170517625529
0.0342156229825694,0.2994652406417112,0.7889162785061369
0.0342156229825694,0.30303030303030304,0.7881573886836937
0.03486120077469335,0.30303030303030304,0.7879053453171536
0.03486120077469335,0.31016042780748665,0.7860961344440597
0.036152356358941255,0.31016042780748665,0.7848861778520807
0.036152356358941255,0.3137254901960784,0.7846997300114472
0.036797934151065206,0.3137254901960784,0.7839470665900425
0.036797934151065206,0.31907308377896615,0.7821480831855296
0.03744351194318916,0.31907308377896615,0.7816332819743758
0.03744351194318916,0.3226381461675579,0.7810604880401929
0.03873466752743705,0.3226381461675579,0.7803045016637357
0.03873466752743705,0.3244206773618538,0.7802538465966194
0.039380245319561004,0.3244206773618538,0.78014373246473
0.039380245319561004,0.3333333333333333,0.7776749176981993
0.040671400903808906,0.3333333333333333,0.776136644699716
0.040671400903808906,0.3422459893048128,0.7729654254555339
0.04131697869593286,0.3422459893048128,0.7726007705394697
0.04131697869593286,0.34402852049910876,0.7725307293102875
0.04196255648805681,0.34402852049910876,0.7725161583928066
0.04196255648805681,0.34581105169340465,0.7721962716247854
0.04454486765655261,0.34581105169340465,0.7713718021168965
0.04454486765655261,0.34759358288770054,0.771299959208035
0.045190445448676564,0.34759358288770054,0.7709064316914396
0.045190445448676564,0.3493761140819964,0.7706277889739489
0.046481601032924466,0.3493761140819964,0.7662754836342369
