fpr,tpr,threshold
0.0,0.0,inf
0.0012911555842479018,0.0142602495543672,1.0
0.0012911555842479018,0.024955436720142603,0.99
0.0012911555842479018,0.026737967914438502,0.9875
0.0032278889606197547,0.0285204991087344,0.98
0.0032278889606197547,0.03208556149732621,0.9740000000000001
0.003873466752743706,0.05169340463458111,0.97
0.004519044544867657,0.06951871657754011,0.96
0.0071013557133634605,0.07308377896613191,0.95
0.008392511297611363,0.08199643493761141,0.94
0.010974822466107165,0.09269162210338681,0.93
0.012911555842479019,0.10695187165775401,0.92
0.01355713363460297,0.12121212121212122,0.91
0.016139444803098774,0.13903743315508021,0.9
0.016785022595222725,0.13903743315508021,0.8956666666666666
0.018076178179470628,0.16042780748663102,0.89
0.020012911555842477,0.17290552584670232,0.88
0.02130406714009038,0.17290552584670232,0.8708333333333332
0.023240800516462233,0.1925133689839572,0.87
0.023886378308586184,0.2014260249554367,0.86
0.029051000645577793,0.2192513368983957,0.84
0.03357004519044545,0.23885918003565063,0.83
0.03486120077469335,0.25133689839572193,0.82
0.036152356358941255,0.26737967914438504,0.81
0.03808908973531311,0.27807486631016043,0.8
0.04196255648805681,0.2905525846702317,0.79
0.04260813428018076,0.29233511586452765,0.785
0.045190445448676564,0.30124777183600715,0.78
0.045836023240800515,0.30124777183600715,0.774
0.05293737895416398,0.31016042780748665,0.77
0.05551969012265978,0.32976827094474154,0.76
0.05616526791478373,0.32976827094474154,0.7563333333333334
0.058102001291155586,0.33689839572192515,0.75
0.06068431245965139,0.3493761140819964,0.74
0.06068431245965139,0.3511586452762923,0.7333333333333333
0.06391220142027114,0.36363636363636365,0.73
0.06907682375726275,0.37433155080213903,0.72
0.07295029051000645,0.38146167557932265,0.71
0.0774693350548741,0.3868092691622103,0.7
0.07876049063912201,0.40463458110516937,0.69
0.08198837959974177,0.40998217468805703,0.68
0.08586184635248548,0.41354723707664887,0.67
0.08973531310522918,0.42780748663101603,0.66
0.08973531310522918,0.4295900178253119,0.655
0.0961910910264687,0.44028520499108736,0.65
0.1000645577792124,0.44919786096256686,0.64
0.10458360232408005,0.45989304812834225,0.63
0.11103938024531956,0.47237076648841353,0.62
0.11491284699806327,0.483065953654189,0.61
0.12265978050355068,0.49019607843137253,0.6
0.12976113621691412,0.49554367201426025,0.59
0.1342801807617818,0.5026737967914439,0.58
0.13750806972240154,0.5187165775401069,0.57
0.14202711426726922,0.5365418894830659,0.56
0.14912846998063267,0.5436720142602496,0.55
0.15171078114912848,0.5561497326203209,0.54
0.15816655907036797,0.5668449197860963,0.53
0.16526791478373143,0.5721925133689839,0.52
0.17172369270497095,0.5846702317290553,0.51
0.17172369270497095,0.5882352941176471,0.505
0.1736604260813428,0.6096256684491979,0.5
0.1788250484183344,0.6185383244206774,0.49
0.18721755971594578,0.6292335115864528,0.48
0.19367333763718528,0.6470588235294118,0.47
0.197546804389929,0.661319073083779,0.46
0.20464816010329245,0.6737967914438503,0.45
0.20981278244028406,0.6827094474153298,0.44
0.21691413815364752,0.6934046345811051,0.43
0.2253066494512589,0.6987522281639929,0.42
0.23305358295674627,0.7112299465240641,0.41
0.2446739832149774,0.7165775401069518,0.4
0.25177533892834086,0.7272727272727273,0.39
0.2524209167204648,0.7272727272727273,0.3856031746031745
0.26016785022595224,0.7344028520499108,0.38
0.26016785022595224,0.7361853832442068,0.3746111111111112
0.2659780503550678,0.7522281639928698,0.37
0.276307295029051,0.7593582887700535,0.36
0.276952872821175,0.7593582887700535,0.35577777777777775
0.28857327307940606,0.768270944741533,0.35
0.29761136216914136,0.7843137254901961,0.34
0.30600387346675273,0.7896613190730838,0.33
0.3189154293092318,0.8003565062388592,0.32
0.328599096191091,0.8057040998217468,0.31
0.33892834086507423,0.8199643493761141,0.3
0.3395739186571982,0.8199643493761141,0.292
0.35313105229180114,0.8342245989304813,0.29
0.3615235635894125,0.8449197860962567,0.28
0.3712072304712718,0.8538324420677362,0.27
0.38863783085861847,0.8663101604278075,0.26
0.3892834086507424,0.8663101604278075,0.25416666666666665
0.4028405422853454,0.8770053475935828,0.25
0.4131697869593286,0.8805704099821747,0.24
0.4228534538411879,0.8841354723707665,0.23
0.43511943189154295,0.8859180035650623,0.22
0.44544867656552617,0.8912655971479501,0.21
0.46287927695287284,0.8948306595365418,0.2
0.4744996772111039,0.9019607843137255,0.19
0.48741123305358297,0.9073083778966132,0.18
0.4880568108457069,0.9073083778966132,0.174
0.49967721110393803,0.9090909090909091,0.17
0.49967721110393803,0.910873440285205,0.16216666666666668
0.5100064557779213,0.9180035650623886,0.16
0.5306649451258877,0.9233511586452763,0.15
0.5590703679793415,0.93048128342246,0.13
0.5597159457714654,0.93048128342246,0.12216666666666667
0.579728857327308,0.9376114081996435,0.12
0.5965138799225307,0.948306595365419,0.11
0.6287927695287282,0.9500891265597148,0.1
0.6488056810845707,0.9590017825311943,0.09
0.6726920593931569,0.966131907308378,0.08
0.697224015493867,0.9750445632798574,0.07
0.697869593285991,0.9750445632798574,0.065
0.7249838605551969,0.982174688057041,0.06
0.7546804389928986,0.9893048128342246,0.05
0.7837314396384765,0.9910873440285205,0.04
0.8205293737895416,0.9910873440285205,0.03
0.8605551969012266,0.9946524064171123,0.02
0.9096191091026469,0.9982174688057041,0.01
1.0,1.0,0.0
